"1947","Wacław Sieroszewski","Beniowski. Powieść","Sieroszewski widział w Beniowskim człowieka odważnego, wręcz nieustraszonego, a takich właśnie charakterów Polska jego zdaniem wówczas potrzebowała."
"1947","Jan Bielatowicz","Brygada Karpacka","Historia Samodzielnej Brygady Strzelców Karpackich spisana na podstawie dokumentów oraz doświadczeń autora."
"1947","Andrzej Strug","Dzieje jednego pocisku","Powieść osadzona w realiach rewolucji w 1905 roku. Autor kreśląc bohaterów ukazuje całą panoramę charakterów polskich rewolucjonistów poczynając od jednostek szlachetnych po recydywistów."
"1947","Tadeusz Felsztyn","Energia atomowa","Przemiany i zdobycze nauki i techniki w wykładzie o energii atomowej. Napisana przystępnym językiem stanowi sumę polskiej myśli i wiedzy o atomie w dobie połowy XX w."
"1947","Paweł Hostowiec","Il Calvario continua... Diario di un viaggio in Austria e Germania","Włoskie tłumaczenie „Dziennika podróży do Austrii i Niemiec”, czyli podróży Hostowca (Stempowskiego) do stref okupowanych."
"1947","Arthur Koestler","Krucjata bez krzyża","Opowieść o wojennych losach młodego „krzyżowca” bałkańskiego, Piotra Sławka. Tł. Gustaw Herling-Grudziński."
"1947","Juliusz Kaden-Bandrowski","La citta di mia madre","Włoskie tłumaczenie „Miasta mojej matki”. retrospektywnej powieści autora z lat dzieciństwa w międzywojennej Polsce."
"1947","Andrzej Strug","Mogiła nieznanego żołnierza","Powieść o straconej nadziei, o losach małżeństwa rozdzielonego przez wojnę i rewolucję. O trudach ludzkich wyborów oraz wizji człowieka w obliczu śmierci."
"1947","Leon Blum","Na miarę człowieka","Pisane w niemieckim obozie koncentracyjnym ważne studium o naturze socjalizmu, jego demokratycznym i humanistycznym celu oraz antytotalitarnym obliczu."
"1947","Sergiusz Piasecki","Nikt nie da nam zbawienia...","Ostatnia część „Trylogii Złodziejskiej”. Dalsze losy Jasia „Panicza” Nacewicza, Olka „Mongoła” Barana oraz reszty ferajny, znanych z „Jabłuszka” oraz „Spojrzę ja w okno...”"
"1947","Jan Bielatowicz","Passeggiata. Szkice włoskie","Przewodnik po wędrówkach humanisty po Italii. Pozycję tę uważa się za pamiątkę dla żołnierzy, uczestniczących w walkach Armii Polskiej we Włoszech podczas II wojny światowej."
"1947","Bolesław Miciński","Portret Kanta i trzy essaye o wojnie","Wybór tekstów przedwojennych oraz emigracyjnych przedwcześnie zmarłego wybitnego polskiego filozofa i eseisty."
